2018-12-04 23:36:41.532493  

 Train one epoch   1 / 100
2018-12-05 02:59:22.374284   Evaluation one (validation set) epoch  17 / 100
2018-12-05 03:00:09.105996  [Epoch 16] Validation mean loss: 3.547368
2018-12-05 03:00:09.108241  [Epoch 16] Validation heading rmse[deg]: 106.587247
2018-12-05 03:00:09.110099  [Epoch 16] Validation class accuracy: 0.438782
2018-12-05 03:00:09.111970  [Epoch 16] Validation avg class acc: 0.083185
2018-12-05 03:00:09.113683  [Epoch 16] Validation indivisual [0] class recall: 0.249556
2018-12-05 03:00:09.115443  [Epoch 16] Validation indivisual [0] class precision: 0.438782
2018-12-05 03:00:09.117134  [Epoch 16] Validation indivisual [1] class recall: 0.000000
2018-12-05 03:00:09.118719  [Epoch 16] Validation indivisual [2] class recall: 0.000000
2018-12-05 03:00:09.120441  

 Train one epoch  18 / 100
2018-12-05 03:11:20.398504  [Epoch 17] mean loss: 5.549474
2018-12-05 03:11:20.400553  [Epoch 17] heading rmse[deg]: 133.726726
2018-12-05 03:11:20.402450  [Epoch 17] class accuracy: 0.446112
2018-12-05 03:11:20.404815  [Epoch 17] avg class acc: 0.334680
2018-12-05 03:11:20.406686  [Epoch 17] indivisual [0] class recall: 0.447297
2018-12-05 03:11:20.408246  [Epoch 17] indivisual [0] class precision: 0.441358
2018-12-05 03:11:20.409804  [Epoch 17] indivisual [1] class recall: 0.555408
2018-12-05 03:11:20.411262  [Epoch 17] indivisual [1] class precision: 0.451280
2018-12-05 03:11:20.412666  [Epoch 17] indivisual [2] class recall: 0.001333
2018-12-05 03:11:20.414007  [Epoch 17] indivisual [2] class precision: 0.075000
2018-12-05 03:11:20.415395   Evaluation one (validation set) epoch  18 / 100
2018-12-05 03:12:07.106124  [Epoch 17] Validation mean loss: 3.919808
2018-12-05 03:12:07.108110  [Epoch 17] Validation heading rmse[deg]: 108.279707
2018-12-05 03:12:07.109974  [Epoch 17] Validation class accuracy: 0.448440
2018-12-05 03:12:07.111923  [Epoch 17] Validation avg class acc: 0.084937
2018-12-05 03:12:07.113653  [Epoch 17] Validation indivisual [0] class recall: 0.243868
2018-12-05 03:12:07.115586  [Epoch 17] Validation indivisual [0] class precision: 0.441973
2018-12-05 03:12:07.117369  [Epoch 17] Validation indivisual [1] class recall: 0.010942
2018-12-05 03:12:07.119048  [Epoch 17] Validation indivisual [1] class precision: 0.658780
2018-12-05 03:12:07.120737  [Epoch 17] Validation indivisual [2] class recall: 0.000000
2018-12-05 03:12:07.122490  

 Train one epoch  19 / 100
2018-12-05 03:23:17.930247  [Epoch 18] mean loss: 5.302914
2018-12-05 03:23:17.932306  [Epoch 18] heading rmse[deg]: 130.691618
2018-12-05 03:23:17.934228  [Epoch 18] class accuracy: 0.445480
2018-12-05 03:23:17.936161  [Epoch 18] avg class acc: 0.334405
2018-12-05 03:23:17.938090  [Epoch 18] indivisual [0] class recall: 0.451492
2018-12-05 03:23:17.939995  [Epoch 18] indivisual [0] class precision: 0.440311
2018-12-05 03:23:17.941824  [Epoch 18] indivisual [1] class recall: 0.549724
2018-12-05 03:23:17.943533  [Epoch 18] indivisual [1] class precision: 0.450928
2018-12-05 03:23:17.945202  [Epoch 18] indivisual [2] class recall: 0.002000
2018-12-05 03:23:17.946843  [Epoch 18] indivisual [2] class precision: 0.113924
2018-12-05 03:23:17.948464   Evaluation one (validation set) epoch  19 / 100
2018-12-05 03:24:04.660153  [Epoch 18] Validation mean loss: 4.738429
2018-12-05 03:24:04.662244  [Epoch 18] Validation heading rmse[deg]: 110.831869
2018-12-05 03:24:04.664117  [Epoch 18] Validation class accuracy: 0.441382
2018-12-05 03:24:04.666161  [Epoch 18] Validation avg class acc: 0.083590
2018-12-05 03:24:04.668138  [Epoch 18] Validation indivisual [0] class recall: 0.238010
2018-12-05 03:24:04.669878  [Epoch 18] Validation indivisual [0] class precision: 0.438737
2018-12-05 03:24:04.671528  [Epoch 18] Validation indivisual [1] class recall: 0.012761
2018-12-05 03:24:04.673272  [Epoch 18] Validation indivisual [1] class precision: 0.495981
2018-12-05 03:24:04.674949  [Epoch 18] Validation indivisual [2] class recall: 0.000000
2018-12-05 03:24:04.676835  

 Train one epoch  20 / 100
2018-12-05 03:35:15.376618  [Epoch 19] mean loss: 4.994626
2018-12-05 03:35:15.378602  [Epoch 19] heading rmse[deg]: 127.000254
2018-12-05 03:35:15.380516  [Epoch 19] class accuracy: 0.451065
2018-12-05 03:35:15.382418  [Epoch 19] avg class acc: 0.338469
2018-12-05 03:35:15.384251  [Epoch 19] indivisual [0] class recall: 0.438711
2018-12-05 03:35:15.386056  [Epoch 19] indivisual [0] class precision: 0.446389
2018-12-05 03:35:15.388089  [Epoch 19] indivisual [1] class recall: 0.574696
2018-12-05 03:35:15.390148  [Epoch 19] indivisual [1] class precision: 0.455873
2018-12-05 03:35:15.391896  [Epoch 19] indivisual [2] class recall: 0.002000
2018-12-05 03:35:15.393618  [Epoch 19] indivisual [2] class precision: 0.109091
2018-12-05 03:35:15.395309   Evaluation one (validation set) epoch  20 / 100
2018-12-05 03:36:02.139777  [Epoch 19] Validation mean loss: 4.932350
2018-12-05 03:36:02.141686  [Epoch 19] Validation heading rmse[deg]: 110.057332
2018-12-05 03:36:02.143434  [Epoch 19] Validation class accuracy: 0.434658
2018-12-05 03:36:02.145204  [Epoch 19] Validation avg class acc: 0.082362
2018-12-05 03:36:02.147146  [Epoch 19] Validation indivisual [0] class recall: 0.241317
2018-12-05 03:36:02.149136  [Epoch 19] Validation indivisual [0] class precision: 0.435522
2018-12-05 03:36:02.150968  [Epoch 19] Validation indivisual [1] class recall: 0.005770
2018-12-05 03:36:02.152753  [Epoch 19] Validation indivisual [1] class precision: 0.402017
2018-12-05 03:36:02.154537  [Epoch 19] Validation indivisual [2] class recall: 0.000000
2018-12-05 03:36:03.223391  Model saved in file: /home/gozilla/kyungpyo/git/MasterThesisProject/Network/notebook/train_log_20181204/model_2_out5_1/model.ckpt
2018-12-05 03:36:03.224949  

 Train one epoch  21 / 100
2018-12-05 03:47:13.563666  [Epoch 20] mean loss: 4.787730
2018-12-05 03:47:13.565563  [Epoch 20] heading rmse[deg]: 123.825099
2018-12-05 03:47:13.567237  [Epoch 20] class accuracy: 0.449554
2018-12-05 03:47:13.569055  [Epoch 20] avg class acc: 0.337445
2018-12-05 03:47:13.570641  [Epoch 20] indivisual [0] class recall: 0.428266
2018-12-05 03:47:13.572245  [Epoch 20] indivisual [0] class precision: 0.443887
2018-12-05 03:47:13.573801  [Epoch 20] indivisual [1] class recall: 0.581402
2018-12-05 03:47:13.575340  [Epoch 20] indivisual [1] class precision: 0.454918
2018-12-05 03:47:13.576896  [Epoch 20] indivisual [2] class recall: 0.002667
2018-12-05 03:47:13.578425  [Epoch 20] indivisual [2] class precision: 0.137931
2018-12-05 03:47:13.580062   Evaluation one (validation set) epoch  21 / 100
2018-12-05 03:48:00.410944  [Epoch 20] Validation mean loss: 5.227952
2018-12-05 03:48:00.412749  [Epoch 20] Validation heading rmse[deg]: 111.644358
2018-12-05 03:48:00.414432  [Epoch 20] Validation class accuracy: 0.435958
2018-12-05 03:48:00.416293  [Epoch 20] Validation avg class acc: 0.082578
2018-12-05 03:48:00.418095  [Epoch 20] Validation indivisual [0] class recall: 0.237001
2018-12-05 03:48:00.420065  [Epoch 20] Validation indivisual [0] class precision: 0.436018
2018-12-05 03:48:00.422080  [Epoch 20] Validation indivisual [1] class recall: 0.010733
2018-12-05 03:48:00.423945  [Epoch 20] Validation indivisual [1] class precision: 0.434673
2018-12-05 03:48:00.425794  [Epoch 20] Validation indivisual [2] class recall: 0.000000
2018-12-05 03:48:00.427640  

 Train one epoch  22 / 100
2018-12-05 03:59:11.142109  [Epoch 21] mean loss: 4.534831
2018-12-05 03:59:11.144051  [Epoch 21] heading rmse[deg]: 120.793122
2018-12-05 03:59:11.145749  [Epoch 21] class accuracy: 0.450446
2018-12-05 03:59:11.147537  [Epoch 21] avg class acc: 0.338327
2018-12-05 03:59:11.149128  [Epoch 21] indivisual [0] class recall: 0.419454
2018-12-05 03:59:11.150747  [Epoch 21] indivisual [0] class precision: 0.445931
2018-12-05 03:59:11.152441  [Epoch 21] indivisual [1] class recall: 0.591749
2018-12-05 03:59:11.154039  [Epoch 21] indivisual [1] class precision: 0.455260
2018-12-05 03:59:11.155619  [Epoch 21] indivisual [2] class recall: 0.003778
2018-12-05 03:59:11.157094  [Epoch 21] indivisual [2] class precision: 0.139344
2018-12-05 03:59:11.158562   Evaluation one (validation set) epoch  22 / 100
2018-12-05 03:59:57.866206  [Epoch 21] Validation mean loss: 5.169071
2018-12-05 03:59:57.868133  [Epoch 21] Validation heading rmse[deg]: 111.970272
2018-12-05 03:59:57.869854  [Epoch 21] Validation class accuracy: 0.437370
2018-12-05 03:59:57.871654  [Epoch 21] Validation avg class acc: 0.082866
2018-12-05 03:59:57.873261  [Epoch 21] Validation indivisual [0] class recall: 0.240656
2018-12-05 03:59:57.874923  [Epoch 21] Validation indivisual [0] class precision: 0.436917
2018-12-05 03:59:57.876520  [Epoch 21] Validation indivisual [1] class recall: 0.007941
2018-12-05 03:59:57.878145  [Epoch 21] Validation indivisual [1] class precision: 0.451234
2018-12-05 03:59:57.879874  [Epoch 21] Validation indivisual [2] class recall: 0.000000
2018-12-05 03:59:57.881745  

 Train one epoch  23 / 100
2018-12-05 04:11:08.652601  [Epoch 22] mean loss: 4.310734
2018-12-05 04:11:08.654498  [Epoch 22] heading rmse[deg]: 117.867631
2018-12-05 04:11:08.656374  [Epoch 22] class accuracy: 0.448452
2018-12-05 04:11:08.658284  [Epoch 22] avg class acc: 0.336388
2018-12-05 04:11:08.660094  [Epoch 22] indivisual [0] class recall: 0.421791
2018-12-05 04:11:08.661793  [Epoch 22] indivisual [0] class precision: 0.443110
2018-12-05 04:11:08.663798  [Epoch 22] indivisual [1] class recall: 0.585486
2018-12-05 04:11:08.665827  [Epoch 22] indivisual [1] class precision: 0.454250
2018-12-05 04:11:08.667518  [Epoch 22] indivisual [2] class recall: 0.001889
2018-12-05 04:11:08.669257  [Epoch 22] indivisual [2] class precision: 0.071130
2018-12-05 04:11:08.670942   Evaluation one (validation set) epoch  23 / 100
2018-12-05 04:11:55.438937  [Epoch 22] Validation mean loss: 4.788017
2018-12-05 04:11:55.440788  [Epoch 22] Validation heading rmse[deg]: 110.232590
2018-12-05 04:11:55.442460  [Epoch 22] Validation class accuracy: 0.439190
2018-12-05 04:11:55.444278  [Epoch 22] Validation avg class acc: 0.083199
2018-12-05 04:11:55.446122  [Epoch 22] Validation indivisual [0] class recall: 0.240165
2018-12-05 04:11:55.448051  [Epoch 22] Validation indivisual [0] class precision: 0.436957
2018-12-05 04:11:55.449857  [Epoch 22] Validation indivisual [1] class recall: 0.009431
2018-12-05 04:11:55.451649  [Epoch 22] Validation indivisual [1] class precision: 0.503311
2018-12-05 04:11:55.453424  [Epoch 22] Validation indivisual [2] class recall: 0.000000
2018-12-05 04:11:55.455082  

 Train one epoch  24 / 100
2018-12-05 04:23:06.104329  [Epoch 23] mean loss: 4.153912
2018-12-05 04:23:06.106276  [Epoch 23] heading rmse[deg]: 115.690551
2018-12-05 04:23:06.108066  [Epoch 23] class accuracy: 0.448130
2018-12-05 04:23:06.110250  [Epoch 23] avg class acc: 0.335826
2018-12-05 04:23:06.112328  [Epoch 23] indivisual [0] class recall: 0.427590
2018-12-05 04:23:06.114113  [Epoch 23] indivisual [0] class precision: 0.443199
2018-12-05 04:23:06.115789  [Epoch 23] indivisual [1] class recall: 0.579443
2018-12-05 04:23:06.117471  [Epoch 23] indivisual [1] class precision: 0.453102
2018-12-05 04:23:06.119072  [Epoch 23] indivisual [2] class recall: 0.000444
2018-12-05 04:23:06.120703  [Epoch 23] indivisual [2] class precision: 0.027397
2018-12-05 04:23:06.122298   Evaluation one (validation set) epoch  24 / 100
2018-12-05 04:23:52.782819  [Epoch 23] Validation mean loss: 5.271725
2018-12-05 04:23:52.784652  [Epoch 23] Validation heading rmse[deg]: 109.689310
2018-12-05 04:23:52.786531  [Epoch 23] Validation class accuracy: 0.438522
2018-12-05 04:23:52.788640  [Epoch 23] Validation avg class acc: 0.083097
2018-12-05 04:23:52.790344  [Epoch 23] Validation indivisual [0] class recall: 0.244037
2018-12-05 04:23:52.792267  [Epoch 23] Validation indivisual [0] class precision: 0.437521
2018-12-05 04:23:52.794130  [Epoch 23] Validation indivisual [1] class recall: 0.005254
2018-12-05 04:23:52.795915  [Epoch 23] Validation indivisual [1] class precision: 0.489403
2018-12-05 04:23:52.797651  [Epoch 23] Validation indivisual [2] class recall: 0.000000
2018-12-05 04:23:52.799380  

 Train one epoch  25 / 100
2018-12-05 04:35:03.374563  [Epoch 24] mean loss: 3.992078
2018-12-05 04:35:03.376702  [Epoch 24] heading rmse[deg]: 113.175578
2018-12-05 04:35:03.378410  [Epoch 24] class accuracy: 0.448588
2018-12-05 04:35:03.380290  [Epoch 24] avg class acc: 0.336069
2018-12-05 04:35:03.381916  [Epoch 24] indivisual [0] class recall: 0.412979
2018-12-05 04:35:03.383898  [Epoch 24] indivisual [0] class precision: 0.443708
2018-12-05 04:35:03.386099  [Epoch 24] indivisual [1] class recall: 0.594785
2018-12-05 04:35:03.388117  [Epoch 24] indivisual [1] class precision: 0.453074
2018-12-05 04:35:03.389997  [Epoch 24] indivisual [2] class recall: 0.000444
2018-12-05 04:35:03.391906  [Epoch 24] indivisual [2] class precision: 0.032000
2018-12-05 04:35:03.393761   Evaluation one (validation set) epoch  25 / 100
2018-12-05 04:35:50.097875  [Epoch 24] Validation mean loss: 4.723807
2018-12-05 04:35:50.099830  [Epoch 24] Validation heading rmse[deg]: 109.698638
2018-12-05 04:35:50.101632  [Epoch 24] Validation class accuracy: 0.438150
2018-12-05 04:35:50.103433  [Epoch 24] Validation avg class acc: 0.083030
2018-12-05 04:35:50.105058  [Epoch 24] Validation indivisual [0] class recall: 0.244560
2018-12-05 04:35:50.106646  [Epoch 24] Validation indivisual [0] class precision: 0.437491
2018-12-05 04:35:50.108312  [Epoch 24] Validation indivisual [1] class recall: 0.004530
2018-12-05 04:35:50.109905  [Epoch 24] Validation indivisual [1] class precision: 0.476087
2018-12-05 04:35:50.111461  [Epoch 24] Validation indivisual [2] class recall: 0.000000
2018-12-05 04:35:50.113058  

 Train one epoch  26 / 100
2018-12-05 04:47:01.066165  [Epoch 25] mean loss: 3.861952
2018-12-05 04:47:01.068331  [Epoch 25] heading rmse[deg]: 111.398687
2018-12-05 04:47:01.070159  [Epoch 25] class accuracy: 0.446558
2018-12-05 04:47:01.072096  [Epoch 25] avg class acc: 0.334720
2018-12-05 04:47:01.073827  [Epoch 25] indivisual [0] class recall: 0.424437
2018-12-05 04:47:01.075624  [Epoch 25] indivisual [0] class precision: 0.440716
2018-12-05 04:47:01.077611  [Epoch 25] indivisual [1] class recall: 0.578946
2018-12-05 04:47:01.079797  [Epoch 25] indivisual [1] class precision: 0.451846
2018-12-05 04:47:01.081485  [Epoch 25] indivisual [2] class recall: 0.000778
2018-12-05 04:47:01.083090  [Epoch 25] indivisual [2] class precision: 0.059322
2018-12-05 04:47:01.084760   Evaluation one (validation set) epoch  26 / 100
2018-12-05 04:47:47.818629  [Epoch 25] Validation mean loss: 8.247631
2018-12-05 04:47:47.820568  [Epoch 25] Validation heading rmse[deg]: 111.415027
2018-12-05 04:47:47.822292  [Epoch 25] Validation class accuracy: 0.439450
2018-12-05 04:47:47.824199  [Epoch 25] Validation avg class acc: 0.083271
2018-12-05 04:47:47.826004  [Epoch 25] Validation indivisual [0] class recall: 0.244000
2018-12-05 04:47:47.827914  [Epoch 25] Validation indivisual [0] class precision: 0.438126
2018-12-05 04:47:47.829634  [Epoch 25] Validation indivisual [1] class recall: 0.005812
2018-12-05 04:47:47.831550  [Epoch 25] Validation indivisual [1] class precision: 0.501786
2018-12-05 04:47:47.833450  [Epoch 25] Validation indivisual [2] class recall: 0.000000
2018-12-05 04:47:47.835276  

 Train one epoch  27 / 100
2018-12-05 04:58:58.823337  [Epoch 26] mean loss: 3.774121
2018-12-05 04:58:58.825212  [Epoch 26] heading rmse[deg]: 110.309770
2018-12-05 04:58:58.827006  [Epoch 26] class accuracy: 0.448725
2018-12-05 04:58:58.828881  [Epoch 26] avg class acc: 0.336158
2018-12-05 04:58:58.830551  [Epoch 26] indivisual [0] class recall: 0.411064
2018-12-05 04:58:58.832356  [Epoch 26] indivisual [0] class precision: 0.443772
2018-12-05 04:58:58.833982  [Epoch 26] indivisual [1] class recall: 0.596965
2018-12-05 04:58:58.835612  [Epoch 26] indivisual [1] class precision: 0.453106
2018-12-05 04:58:58.837546  [Epoch 26] indivisual [2] class recall: 0.000444
2018-12-05 04:58:58.839583  [Epoch 26] indivisual [2] class precision: 0.035714
2018-12-05 04:58:58.841316   Evaluation one (validation set) epoch  27 / 100
2018-12-05 04:59:45.625719  [Epoch 26] Validation mean loss: 5.985280
2018-12-05 04:59:45.627649  [Epoch 26] Validation heading rmse[deg]: 111.013394
2018-12-05 04:59:45.629530  [Epoch 26] Validation class accuracy: 0.437221
2018-12-05 04:59:45.631574  [Epoch 26] Validation avg class acc: 0.082851
2018-12-05 04:59:45.633527  [Epoch 26] Validation indivisual [0] class recall: 0.242927
2018-12-05 04:59:45.635274  [Epoch 26] Validation indivisual [0] class precision: 0.437436
2018-12-05 04:59:45.637056  [Epoch 26] Validation indivisual [1] class recall: 0.005625
2018-12-05 04:59:45.638782  [Epoch 26] Validation indivisual [1] class precision: 0.428346
2018-12-05 04:59:45.640566  [Epoch 26] Validation indivisual [2] class recall: 0.000000
2018-12-05 04:59:45.642321  

 Train one epoch  28 / 100
2018-12-05 05:10:56.920736  [Epoch 27] mean loss: 3.676711
2018-12-05 05:10:56.922649  [Epoch 27] heading rmse[deg]: 108.849721
2018-12-05 05:10:56.924458  [Epoch 27] class accuracy: 0.451412
2018-12-05 05:10:56.926379  [Epoch 27] avg class acc: 0.338316
2018-12-05 05:10:56.928157  [Epoch 27] indivisual [0] class recall: 0.431306
2018-12-05 05:10:56.929787  [Epoch 27] indivisual [0] class precision: 0.446140
2018-12-05 05:10:56.931793  [Epoch 27] indivisual [1] class recall: 0.583085
2018-12-05 05:10:56.933865  [Epoch 27] indivisual [1] class precision: 0.456137
2018-12-05 05:10:56.935641  [Epoch 27] indivisual [2] class recall: 0.000556
2018-12-05 05:10:56.937436  [Epoch 27] indivisual [2] class precision: 0.052632
2018-12-05 05:10:56.939171   Evaluation one (validation set) epoch  28 / 100
2018-12-05 05:11:43.609147  [Epoch 27] Validation mean loss: 4.777923
2018-12-05 05:11:43.611053  [Epoch 27] Validation heading rmse[deg]: 109.112125
2018-12-05 05:11:43.612855  [Epoch 27] Validation class accuracy: 0.439636
2018-12-05 05:11:43.614607  [Epoch 27] Validation avg class acc: 0.083305
2018-12-05 05:11:43.616477  [Epoch 27] Validation indivisual [0] class recall: 0.243958
2018-12-05 05:11:43.618454  [Epoch 27] Validation indivisual [0] class precision: 0.438033
2018-12-05 05:11:43.620330  [Epoch 27] Validation indivisual [1] class recall: 0.005956
2018-12-05 05:11:43.622139  [Epoch 27] Validation indivisual [1] class precision: 0.515206
2018-12-05 05:11:43.642304  [Epoch 27] Validation indivisual [2] class recall: 0.000000
2018-12-05 05:11:43.644323  

 Train one epoch  29 / 100
2018-12-05 05:22:54.511813  [Epoch 28] mean loss: 3.613172
2018-12-05 05:22:54.514000  [Epoch 28] heading rmse[deg]: 107.780171
2018-12-05 05:22:54.516029  [Epoch 28] class accuracy: 0.447784
2018-12-05 05:22:54.517983  [Epoch 28] avg class acc: 0.336167
2018-12-05 05:22:54.519893  [Epoch 28] indivisual [0] class recall: 0.425507
2018-12-05 05:22:54.521604  [Epoch 28] indivisual [0] class precision: 0.443018
2018-12-05 05:22:54.523375  [Epoch 28] indivisual [1] class recall: 0.580105
2018-12-05 05:22:54.524992  [Epoch 28] indivisual [1] class precision: 0.452195
2018-12-05 05:22:54.526621  [Epoch 28] indivisual [2] class recall: 0.002889
2018-12-05 05:22:54.528359  [Epoch 28] indivisual [2] class precision: 0.169935
2018-12-05 05:22:54.530027   Evaluation one (validation set) epoch  29 / 100
2018-12-05 05:23:41.237914  [Epoch 28] Validation mean loss: 4.456411
2018-12-05 05:23:41.239497  [Epoch 28] Validation heading rmse[deg]: 107.673048
2018-12-05 05:23:41.241240  [Epoch 28] Validation class accuracy: 0.441010
2018-12-05 05:23:41.243082  [Epoch 28] Validation avg class acc: 0.083581
2018-12-05 05:23:41.244946  [Epoch 28] Validation indivisual [0] class recall: 0.246688
2018-12-05 05:23:41.246670  [Epoch 28] Validation indivisual [0] class precision: 0.439675
2018-12-05 05:23:41.248464  [Epoch 28] Validation indivisual [1] class recall: 0.004054
2018-12-05 05:23:41.250171  [Epoch 28] Validation indivisual [1] class precision: 0.538462
2018-12-05 05:23:41.251953  [Epoch 28] Validation indivisual [2] class recall: 0.000000
2018-12-05 05:23:41.253619  

 Train one epoch  30 / 100
2018-12-05 05:34:52.286342  [Epoch 29] mean loss: 3.551843
2018-12-05 05:34:52.288295  [Epoch 29] heading rmse[deg]: 106.905639
2018-12-05 05:34:52.290018  [Epoch 29] class accuracy: 0.449443
2018-12-05 05:34:52.291900  [Epoch 29] avg class acc: 0.337528
2018-12-05 05:34:52.293667  [Epoch 29] indivisual [0] class recall: 0.402900
2018-12-05 05:34:52.295700  [Epoch 29] indivisual [0] class precision: 0.441848
2018-12-05 05:34:52.297775  [Epoch 29] indivisual [1] class recall: 0.605684
2018-12-05 05:34:52.299520  [Epoch 29] indivisual [1] class precision: 0.455971
2018-12-05 05:34:52.301250  [Epoch 29] indivisual [2] class recall: 0.004000
2018-12-05 05:34:52.302897  [Epoch 29] indivisual [2] class precision: 0.155172
2018-12-05 05:34:52.304569   Evaluation one (validation set) epoch  30 / 100
2018-12-05 05:35:38.971566  [Epoch 29] Validation mean loss: 4.150951
2018-12-05 05:35:38.973457  [Epoch 29] Validation heading rmse[deg]: 107.740242
2018-12-05 05:35:38.975106  [Epoch 29] Validation class accuracy: 0.438410
2018-12-05 05:35:38.976838  [Epoch 29] Validation avg class acc: 0.083083
2018-12-05 05:35:38.978439  [Epoch 29] Validation indivisual [0] class recall: 0.244824
2018-12-05 05:35:38.980443  [Epoch 29] Validation indivisual [0] class precision: 0.438010
2018-12-05 05:35:38.982460  [Epoch 29] Validation indivisual [1] class recall: 0.004426
2018-12-05 05:35:38.984233  [Epoch 29] Validation indivisual [1] class precision: 0.461207
2018-12-05 05:35:38.986027  [Epoch 29] Validation indivisual [2] class recall: 0.000000
2018-12-05 05:35:39.804457  Model saved in file: /home/gozilla/kyungpyo/git/MasterThesisProject/Network/notebook/train_log_20181204/model_2_out5_1/model.ckpt
2018-12-05 05:35:39.806323  

 Train one epoch  31 / 100
2018-12-05 05:46:50.579162  [Epoch 30] mean loss: 3.517100
2018-12-05 05:46:50.581529  [Epoch 30] heading rmse[deg]: 106.285273
2018-12-05 05:46:50.583406  [Epoch 30] class accuracy: 0.449344
2018-12-05 05:46:50.585292  [Epoch 30] avg class acc: 0.337274
2018-12-05 05:46:50.587068  [Epoch 30] indivisual [0] class recall: 0.413542
2018-12-05 05:46:50.588820  [Epoch 30] indivisual [0] class precision: 0.443683
2018-12-05 05:46:50.590450  [Epoch 30] indivisual [1] class recall: 0.595281
2018-12-05 05:46:50.592148  [Epoch 30] indivisual [1] class precision: 0.455184
2018-12-05 05:46:50.593764  [Epoch 30] indivisual [2] class recall: 0.003000
2018-12-05 05:46:50.595381  [Epoch 30] indivisual [2] class precision: 0.104247
2018-12-05 05:46:50.596987   Evaluation one (validation set) epoch  31 / 100
2018-12-05 05:47:37.379268  [Epoch 30] Validation mean loss: 6.180475
2018-12-05 05:47:37.381105  [Epoch 30] Validation heading rmse[deg]: 112.943463
2018-12-05 05:47:37.383158  [Epoch 30] Validation class accuracy: 0.435438
2018-12-05 05:47:37.385220  [Epoch 30] Validation avg class acc: 0.082503
2018-12-05 05:47:37.386930  [Epoch 30] Validation indivisual [0] class recall: 0.240498
2018-12-05 05:47:37.388674  [Epoch 30] Validation indivisual [0] class precision: 0.436097
2018-12-05 05:47:37.390347  [Epoch 30] Validation indivisual [1] class recall: 0.007011
2018-12-05 05:47:37.392085  [Epoch 30] Validation indivisual [1] class precision: 0.414425
2018-12-05 05:47:37.393764  [Epoch 30] Validation indivisual [2] class recall: 0.000000
2018-12-05 05:47:37.395470  

 Train one epoch  32 / 100
2018-12-05 05:58:47.984297  [Epoch 31] mean loss: 3.496926
2018-12-05 05:58:47.986135  [Epoch 31] heading rmse[deg]: 105.979427
2018-12-05 05:58:47.988063  [Epoch 31] class accuracy: 0.449505
2018-12-05 05:58:47.989983  [Epoch 31] avg class acc: 0.337516
2018-12-05 05:58:47.992041  [Epoch 31] indivisual [0] class recall: 0.402618
2018-12-05 05:58:47.994201  [Epoch 31] indivisual [0] class precision: 0.442961
2018-12-05 05:58:47.996342  [Epoch 31] indivisual [1] class recall: 0.606153
2018-12-05 05:58:47.998256  [Epoch 31] indivisual [1] class precision: 0.455463
2018-12-05 05:58:48.000197  [Epoch 31] indivisual [2] class recall: 0.003778
2018-12-05 05:58:48.001957  [Epoch 31] indivisual [2] class precision: 0.138776
2018-12-05 05:58:48.003623   Evaluation one (validation set) epoch  32 / 100
2018-12-05 05:59:34.673044  [Epoch 31] Validation mean loss: 6.623194
2018-12-05 05:59:34.674872  [Epoch 31] Validation heading rmse[deg]: 114.758266
2018-12-05 05:59:34.677146  [Epoch 31] Validation class accuracy: 0.434621
2018-12-05 05:59:34.679192  [Epoch 31] Validation avg class acc: 0.082339
2018-12-05 05:59:34.681001  [Epoch 31] Validation indivisual [0] class recall: 0.239220
2018-12-05 05:59:34.682936  [Epoch 31] Validation indivisual [0] class precision: 0.435970
2018-12-05 05:59:34.684922  [Epoch 31] Validation indivisual [1] class recall: 0.007797
2018-12-05 05:59:34.686804  [Epoch 31] Validation indivisual [1] class precision: 0.397679
2018-12-05 05:59:34.688582  [Epoch 31] Validation indivisual [2] class recall: 0.000000
2018-12-05 05:59:34.690352  

 Train one epoch  33 / 100
2018-12-05 06:10:45.228330  [Epoch 32] mean loss: 3.474372
2018-12-05 06:10:45.230323  [Epoch 32] heading rmse[deg]: 105.744482
2018-12-05 06:10:45.232158  [Epoch 32] class accuracy: 0.450731
2018-12-05 06:10:45.233970  [Epoch 32] avg class acc: 0.338093
2018-12-05 06:10:45.235669  [Epoch 32] indivisual [0] class recall: 0.406813
2018-12-05 06:10:45.237679  [Epoch 32] indivisual [0] class precision: 0.442668
2018-12-05 06:10:45.239780  [Epoch 32] indivisual [1] class recall: 0.605132
2018-12-05 06:10:45.241570  [Epoch 32] indivisual [1] class precision: 0.457944
2018-12-05 06:10:45.243272  [Epoch 32] indivisual [2] class recall: 0.002333
2018-12-05 06:10:45.245014  [Epoch 32] indivisual [2] class precision: 0.091703
2018-12-05 06:10:45.246624   Evaluation one (validation set) epoch  33 / 100
2018-12-05 06:11:31.927781  [Epoch 32] Validation mean loss: 5.333122
2018-12-05 06:11:31.929571  [Epoch 32] Validation heading rmse[deg]: 112.921912
2018-12-05 06:11:31.931271  [Epoch 32] Validation class accuracy: 0.438262
2018-12-05 06:11:31.933141  [Epoch 32] Validation avg class acc: 0.083051
2018-12-05 06:11:31.934828  [Epoch 32] Validation indivisual [0] class recall: 0.243984
2018-12-05 06:11:31.936689  [Epoch 32] Validation indivisual [0] class precision: 0.437889
2018-12-05 06:11:31.938715  [Epoch 32] Validation indivisual [1] class recall: 0.005170
2018-12-05 06:11:31.940517  [Epoch 32] Validation indivisual [1] class precision: 0.456204
